model,total_gpu
llama_30b,48
llama_30b,48
llama_30b,48
llama_30b,48
ResNet,0
llama_30b,48
llama_30b,48
ResNet,0
llama_30b,48
llama_30b,48
word_embedding,256
word_embedding,256
word_embedding,256
word_embedding,256
word_embedding,256
llama_30b,48
llama_30b,48
ResNet,0
ResNet,0
word_embedding,0
llama_30b,48
llama_30b,48
66b,32
66b,32
66b,32
ResNet,4
ResNet,0
ResNet,0
66b,32
66b,32
ResNet,1
ResNet,4
ResNet,0
ResNet,8
66b,32
GPT-13b,32
GPT-13b,32
ResNet,0
GPT-13b,16
GPT-13b,16
GPT-13b,16
GPT-13B,8
GPT-13B,8
GPT-13B,8
GPT-13b,16
DLM,256
llama,128
DLM,256
DLM,256
ResNet,0
DLM,256
ResNet,0
llama,8
llama,8
DLM,256
llama,8
DLM,256
llama,8
llama,8
DLM,256
DLM,256
DLM,256
llama,0
llama,128
DLM,256
ResNet,0
DLM,256
ResNet,8
ResNet,1
ResNet,0
DLM,256
DLM,256
DLM,256
DLM,256
llama,4
ResNet,1
DLM,256
DLM,256
DLM,256
DLM,256
DLM,256
DLM,256
DLM,256
ResNet,0
llama,128
DLM,256
ResNet,1
DLM,256
GPT-13b,24
llama,8
llama,0
llama,0
llama_30b,80
llama,1
llama,0
llama,0
GPT-13B,8
llama_30b,80
llama_30b,80
ResNet,0
GPT-13b,24
llama_30b,80
GPT-13b,24
ResNet,0
llama,1
ResNet,0
ResNet,0
GPT-13b,24
GPT-13b,24
GPT-13b,24
GPT-13b,24
GPT-13b,24
GPT-13b,24
GPT-13b,24
GPT-13b,24
llama,1
GPT-13B,8
llama,1
GPT-13B,8
ResNet,0
ResNet,8
llama,1
llama,1
llama,1
llama,2
GPT-13B,8
llama,2
GPT-7b,0
ResNet,0
ResNet,8
GPT-13B,8
llama,2
GPT-13B,8
GPT-13B,8
GPT-7b,0
ResNet,0
ResNet,1
ResNet,0
ResNet,1
ResNet,0
ResNet,1
ResNet,0
ResNet,1
GPT-13b,24
ResNet,0
ResNet,8
ResNet,0
GPT-13b,48
ResNet,8
ResNet,0
ResNet,1
ResNet,0
llama,1
ResNet,1
llama,1
llama_30b,80
llama,1
llama,1
GPT-13B,8
ResNet,1
ResNet,0
ResNet,1
ResNet,0
ResNet,1
llama,1
ResNet,0
llama,1
ResNet,1
ResNet,0
ResNet,1
GPT-13b,48
GPT-13b,48
GPT-13b,48
GPT-13b,48
ResNet,4
GPT-13b,48
ResNet,2
llama,2
ResNet,2
ResNet,2
ResNet,0
ResNet,0
ResNet,2
ResNet,2
GPT-13b,48
GPT-13b,48
GPT-13b,48
GPT-13b,48
llama,2
GPT-13b,48
GPT-13b,48
llama,0
GPT-13b,48
GPT-13b,8
GPT-13b,48
ResNet,0
GPT-13b,48
ResNet,1
word_embedding,400
word_embedding,400
GPT-13b,48
GPT-13b,48
word_embedding,400
llama,1
ResNet,0
GPT-13b,8
ResNet,1
GPT-13b,8
GPT-13b,8
word_embedding,256
GPT-13b,8
word_embedding,400
llama_30b,72
word_embedding,400
word_embedding,400
word_embedding,400
GPT-13b,8
ResNet,1
ResNet,1
word_embedding,400
130b-infer,8
llama,1
llama,1
ResNet,0
ResNet,1
llama,2
llama,2
GPT-13b,8
ResNet,0
word_embedding,256
llama,2
ResNet,1
GPT-13b,8
llama,2
word_embedding,400
word_embedding,400
word_embedding,400
GPT-7b,0
word_embedding,400
word_embedding,400
word_embedding,400
llama,2
llama,2
ResNet,0
GPT-7b,0
ResNet,1
ResNet,1
130b-infer,8
ResNet,0
ResNet,1
GPT-7b,0
GPT-13b,48
GPT-13b,48
GPT-13b,48
ResNet,0
GPT-13b,48
ResNet,0
ResNet,1
GPT-13b,48
llama,4
llama,1
llama,4
ResNet,0
GPT-13b,48
llama,4
llama,4
ResNet,0
GPT-13b,48
ResNet,1
ResNet,1
GPT-7b,0
GPT-7b,0
ResNet,1
llama,4
ResNet,1
ResNet,3
ResNet,2
ResNet,3
ResNet,1
GPT-7b,0
ResNet,0
GPT-13b,8
ResNet,1
llama,1
llama,1
GPT-7b,0
GPT-7b,0
llama,2
llama,4
llama,4
llama,4
GPT-13b,48
GPT-13b,48
GPT-13b,48
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
gpt,8
gpt,8
GPT-7b,0
gpt,8
GPT-13b,48
llama,1
GPT-13b,8
GPT-7b,0
GPT-7b,0
llama,1
130b-infer,8
ResNet,0
ResNet,1
GPT-13b,48
GPT-13b,48
llama,4
GPT-13b,8
ResNet,2
GPT-13b,8
ResNet,3
ResNet,0
ResNet,8
ResNet,6
GPT-13b,8
ResNet,6
llama,4
gpt,8
gpt,8
llama,4
llama,1
llama,1
llama,1
llama,8
llama,4
llama,64
llama,4
llama,6
llama,64
llama,6
llama,0
llama,4
llama,4
llama,2
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,1
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
llama,4
GPT-3b,8
GPT-3b,16
GPT-3b,16
GPT-3b,16
GPT-3b,16
GPT-3b,16
GPT-3b,16
GPT-3b,16
GPT-3b,64
GPT-3b,64
GPT-3b,64
GPT-3b,64
GPT-3b,64
GPT-3b,64
llama,6
llama,6
llama,8
llama,8
llama,8
llama,8
llama,64
llama,1
llama,8
GPT-13b,48
llama,0
llama,0
GPT-13b,48
GPT-13b,48
GPT-13b,48
GPT-13b,48
llama,2
llama,2
ResNet,1
llama,0
GPT-13b,48
GPT-13b,0
GPT-13b,16
GPT-13b,16
GPT-13b,8
GPT-13b,16
GPT-13b,16
GPT-13b,16
GPT-13b,0
GPT-13b,16
130b-infer,8
GPT-13B,8
GPT-13b,48
llama,2
GPT-13b,8
llama,64
GPT-13b,48
GPT-13b,48
GPT-13b,48
llama,4
llama,4
GPT-13b,48
GPT-13b,48
GPT-13b,48
GPT-13b,8
GPT-13b,8
GPT-13b,8
GPT-13b,16
GPT-13b,16
GPT-13b,48
GPT-13b,16
GPT-13b,48
GPT-13b,16
GPT-13b,16
GPT-13b,16
GPT-13b,16
GPT,0
GPT,0
GPT,0
GPT,0
GPT,0
GPT,0
llama,4
llama,4
GPT,0
GPT-13b,16
GPT,0
130b-infer,8
130b-infer,8
GPT-13b,48
GPT-13b,48
llama,2
llama,2
llama,2
llama,2
130b-infer,8
GPT-13b,16
llama,2
GPT-13b,48
llama,4
llama,8
ResNet,0
ResNet,0
llama,4
GPT-13b,48
GPT-13B,8
GPT-13B,8
GPT-13B,8
GPT-13B,8
GPT-13b,48
GPT-13B,8
llama,8
llama,8
llama,2
llama,1
llama,1
GPT-13B,8
GPT-13B,8
GPT-13b,32
GPT-13b,32
llama,2
llama,2
GPT-13b,32
GPT-13b,32
llama_30b,72
llama_30b,72
llama_30b,72
llama,6
llama_30b,72
llama_30b,72
llama_30b,72
llama_30b,72
GPT-13B,8
GPT-13b,32
llama_30b,72
llama_30b,72
GPT-13b,32
GPT-13B,8
GPT-7b,32
GPT-7b,32
GPT-7b,32
GPT-7b,32
GPT-13B,8
GPT-7b,32
GPT-13B,8
llama_30b,72
GPT,0
GPT,0
GPT-13B,8
GPT-13B,8
GPT,0
GPT,0
GPT,0
GPT-13B,8
GPT,0
GPT,0
GPT,0
llama,0
llama,0
llama,0
llama,6
llama,0
llama,0
GPT-7b,32
GPT-13b,16
GPT-7b,32
llama,0
llama,0
llama,0
llama,8
llama,8
GPT-13b,16
GPT-13b,16
llama,8
llama,1
GPT,0
llama,1
GPT-7b,0
GPT-7b,0
GPT,0
GPT-7b,0
GPT-7b,0
GPT-7b,0
llama_30b,72
GPT,0
GPT-7b,0
llama_30b,72
ResNet,0
GPT-13b,24
llama_30b,72
llama,1
GPT-13b,0
GPT-13b,0
GPT-13b,0
GPT-13b,24
GPT,0
GPT-13b,0
llama,1
llama,1
GPT-13b,0
llama,1
GPT-3b,0
GPT-3b,0
GPT-3b,0
GPT-3b,0
GPT-3b,0
GPT-3b,0
GPT-3b,0
llama,0
GPT-3b,0
llama,0
GPT-3b,0
llama,8
GPT-3b,0
llama,8
GPT-13b,48
GPT-3b,0
llama,16
GPT-13b,4
GPT,0
llama,4
GPT-3b,0
llama,0
llama,0
GPT-3b,0
llama,6
GPT-3b,0
GPT-3b,0
GPT-3b,0
GPT-3b,0
GPT-3b,0
GPT,0
GPT,0
GPT-3b,0
GPT-3b,0
GPT-3b,0
GPT-3b,0
GPT-3b,0
llama,32
llama,24
llama,32
llama,24
GPT-13b,48
llama,24
llama,24
llama,24
GPT,0
llama,24
llama,1
llama,24
llama,6
GPT,0
65b,32
65b,32
65b,32
65b,32
65b,32
GPT-3b,0
65b,32
llama,16
