job_id,job_name,model,gmt_job_running,gmt_job_finished,progress_pct_at_peak,worker_count,total_gpu,total_cpu,total_memory_GiB,has_rdma,state,matched_trace,matched_phase,matched_layer,comm_type,comm_size,tp,pp,ep,dp,group_name,group_size,concurrent_send_peers,per_step_chunk_bytes,total_rounds
14517,dlc1g62nlwfbe179,unknown,2023/7/27 08:50,2023/7/28 18:10,61.3,10,80,960.0,10240.0,True,Computation,,,,,,,,,,,,,,
12297,dlc64nax0zv9gi7f,unknown,2023/7/22 02:45,2023/8/5 10:36,42.61,8,64,640.0,8192.0,True,Communication,llama-45b-train-64gpu.txt,fwd,mlp_row,REDUCESCATTER,58720256,8,2,1,4,TP,8,1,7340032,7
12377,dlc7pnimc9jaexjj,llama,2023/7/22 15:30,2023/7/31 01:43,66.15,8,64,720.0,9600.0,True,Communication,llama-45b-train-64gpu.txt,fwd,mlp_column,ALLGATHER,58720256,8,2,1,4,TP,8,1,7340032,7
13491,dlc1kq826c4yhosz,unknown,2023/7/25 10:06,2023/7/29 03:48,74.88,8,64,720.0,8000.0,True,Computation,,,,,,,,,,,,,,
14196,dlc18nipdwmyslb4,unknown,2023/7/26 13:03,2023/7/28 08:02,93.56,8,64,256.0,2400.0,True,Communication,llama-45b-train-64gpu.txt,fwd,cross_entropy1,ALLREDUCE,16384,8,2,1,4,TP,8,1,2048,14
14230,dlca569wfqiwpnw9,unknown,2023/7/26 14:30,2023/7/28 08:04,93.26,8,64,256.0,2400.0,True,Communication,llama-45b-train-64gpu.txt,fwd,cross_entropy1,ALLREDUCE,16384,8,2,1,4,TP,8,1,2048,14
14415,dlc62w4jokyct1hw,unknown,2023/7/27 06:51,2023/7/31 03:27,24.21,8,64,256.0,2400.0,True,Communication,llama-45b-train-64gpu.txt,fwd,mlp_row,REDUCESCATTER,58720256,8,2,1,4,TP,8,1,7340032,7
14519,dlc1v5gq9wbgygbk,GPT-13b,2023/7/27 08:56,2023/7/28 11:44,75.87,6,48,288.0,4608.0,True,Computation,,,,,,,,,,,,,,
13619,dlc6ua6tgvazqyxi,unknown,2023/7/25 14:01,2023/8/1 06:04,39.52,5,40,250.0,2560.0,True,Computation,,,,,,,,,,,,,,
13531,dlcs61resmsbjg19,unknown,2023/7/25 11:17,2023/8/1 06:06,40.53,4,32,200.0,2048.0,True,Computation,,,,,,,,,,,,,,
14730,dlcjk7cas1hlrgu3,llama,2023/7/28 03:01,2023/7/30 11:52,3.96,4,32,192.0,2048.0,True,Computation,,,,,,,,,,,,,,
14807,dlczipm9wuiahqym,unknown,2023/7/28 02:57,2023/7/28 05:17,99.29,4,32,256.0,6400.0,True,Computation,,,,,,,,,,,,,,
14826,dlc1rtof0kledzz5,unknown,2023/7/28 03:11,2023/7/28 05:47,80.13,4,32,256.0,6400.0,True,Computation,,,,,,,,,,,,,,
