step_idx,phase,layer_name,comm_type,comm_size,time_sec,cum_pct,tp,pp,ep,dp,group_name,group_size,concurrent_send_peers,per_step_chunk_bytes,total_rounds
0,fwd,grad_norm,ALLGATHER,6695419904,0.124712,5.8266,8,2,1,5,DP,5,1,1339083980,4
1,fwd,attention_column,ALLGATHER,67108864,0.001250,5.8850,8,2,1,5,TP,8,1,8388608,7
2,fwd,attention_row,REDUCESCATTER,67108864,0.001250,5.9434,8,2,1,5,TP,8,1,8388608,7
3,fwd,mlp_column,ALLGATHER,67108864,0.001250,6.0018,8,2,1,5,TP,8,1,8388608,7
4,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,6.0602,8,2,1,5,TP,8,1,8388608,7
5,fwd,attention_column,ALLGATHER,67108864,0.001250,6.1186,8,2,1,5,TP,8,1,8388608,7
6,fwd,attention_row,REDUCESCATTER,67108864,0.001250,6.1770,8,2,1,5,TP,8,1,8388608,7
7,fwd,mlp_column,ALLGATHER,67108864,0.001250,6.2354,8,2,1,5,TP,8,1,8388608,7
8,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,6.2938,8,2,1,5,TP,8,1,8388608,7
9,fwd,attention_column,ALLGATHER,67108864,0.001250,6.3522,8,2,1,5,TP,8,1,8388608,7
10,fwd,attention_row,REDUCESCATTER,67108864,0.001250,6.4106,8,2,1,5,TP,8,1,8388608,7
11,fwd,mlp_column,ALLGATHER,67108864,0.001250,6.4690,8,2,1,5,TP,8,1,8388608,7
12,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,6.5274,8,2,1,5,TP,8,1,8388608,7
13,fwd,attention_column,ALLGATHER,67108864,0.001250,6.5858,8,2,1,5,TP,8,1,8388608,7
14,fwd,attention_row,REDUCESCATTER,67108864,0.001250,6.6442,8,2,1,5,TP,8,1,8388608,7
15,fwd,mlp_column,ALLGATHER,67108864,0.001250,6.7026,8,2,1,5,TP,8,1,8388608,7
16,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,6.7610,8,2,1,5,TP,8,1,8388608,7
17,fwd,attention_column,ALLGATHER,67108864,0.001250,6.8194,8,2,1,5,TP,8,1,8388608,7
18,fwd,attention_row,REDUCESCATTER,67108864,0.001250,6.8778,8,2,1,5,TP,8,1,8388608,7
19,fwd,mlp_column,ALLGATHER,67108864,0.001250,6.9362,8,2,1,5,TP,8,1,8388608,7
20,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,6.9946,8,2,1,5,TP,8,1,8388608,7
21,fwd,attention_column,ALLGATHER,67108864,0.001250,7.0530,8,2,1,5,TP,8,1,8388608,7
22,fwd,attention_row,REDUCESCATTER,67108864,0.001250,7.1114,8,2,1,5,TP,8,1,8388608,7
23,fwd,mlp_column,ALLGATHER,67108864,0.001250,7.1698,8,2,1,5,TP,8,1,8388608,7
24,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,7.2282,8,2,1,5,TP,8,1,8388608,7
25,fwd,attention_column,ALLGATHER,67108864,0.001250,7.2866,8,2,1,5,TP,8,1,8388608,7
26,fwd,attention_row,REDUCESCATTER,67108864,0.001250,7.3450,8,2,1,5,TP,8,1,8388608,7
27,fwd,mlp_column,ALLGATHER,67108864,0.001250,7.4034,8,2,1,5,TP,8,1,8388608,7
28,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,7.4618,8,2,1,5,TP,8,1,8388608,7
29,fwd,attention_column,ALLGATHER,67108864,0.001250,7.5202,8,2,1,5,TP,8,1,8388608,7
30,fwd,attention_row,REDUCESCATTER,67108864,0.001250,7.5786,8,2,1,5,TP,8,1,8388608,7
31,fwd,mlp_column,ALLGATHER,67108864,0.001250,7.6370,8,2,1,5,TP,8,1,8388608,7
32,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,7.6954,8,2,1,5,TP,8,1,8388608,7
33,fwd,attention_column,ALLGATHER,67108864,0.001250,7.7538,8,2,1,5,TP,8,1,8388608,7
34,fwd,attention_row,REDUCESCATTER,67108864,0.001250,7.8122,8,2,1,5,TP,8,1,8388608,7
35,fwd,mlp_column,ALLGATHER,67108864,0.001250,7.8706,8,2,1,5,TP,8,1,8388608,7
36,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,7.9290,8,2,1,5,TP,8,1,8388608,7
37,fwd,attention_column,ALLGATHER,67108864,0.001250,7.9874,8,2,1,5,TP,8,1,8388608,7
38,fwd,attention_row,REDUCESCATTER,67108864,0.001250,8.0458,8,2,1,5,TP,8,1,8388608,7
39,fwd,mlp_column,ALLGATHER,67108864,0.001250,8.1042,8,2,1,5,TP,8,1,8388608,7
40,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,8.1626,8,2,1,5,TP,8,1,8388608,7
41,fwd,attention_column,ALLGATHER,67108864,0.001250,8.2210,8,2,1,5,TP,8,1,8388608,7
42,fwd,attention_row,REDUCESCATTER,67108864,0.001250,8.2794,8,2,1,5,TP,8,1,8388608,7
43,fwd,mlp_column,ALLGATHER,67108864,0.001250,8.3378,8,2,1,5,TP,8,1,8388608,7
44,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,8.3962,8,2,1,5,TP,8,1,8388608,7
45,fwd,attention_column,ALLGATHER,67108864,0.001250,8.4546,8,2,1,5,TP,8,1,8388608,7
46,fwd,attention_row,REDUCESCATTER,67108864,0.001250,8.5130,8,2,1,5,TP,8,1,8388608,7
47,fwd,mlp_column,ALLGATHER,67108864,0.001250,8.5714,8,2,1,5,TP,8,1,8388608,7
48,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,8.6298,8,2,1,5,TP,8,1,8388608,7
49,fwd,attention_column,ALLGATHER,67108864,0.001250,8.6882,8,2,1,5,TP,8,1,8388608,7
50,fwd,attention_row,REDUCESCATTER,67108864,0.001250,8.7466,8,2,1,5,TP,8,1,8388608,7
51,fwd,mlp_column,ALLGATHER,67108864,0.001250,8.8050,8,2,1,5,TP,8,1,8388608,7
52,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,8.8634,8,2,1,5,TP,8,1,8388608,7
53,fwd,attention_column,ALLGATHER,67108864,0.001250,8.9218,8,2,1,5,TP,8,1,8388608,7
54,fwd,attention_row,REDUCESCATTER,67108864,0.001250,8.9802,8,2,1,5,TP,8,1,8388608,7
55,fwd,mlp_column,ALLGATHER,67108864,0.001250,9.0386,8,2,1,5,TP,8,1,8388608,7
56,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,9.0970,8,2,1,5,TP,8,1,8388608,7
57,fwd,attention_column,ALLGATHER,67108864,0.001250,9.1554,8,2,1,5,TP,8,1,8388608,7
58,fwd,attention_row,REDUCESCATTER,67108864,0.001250,9.2138,8,2,1,5,TP,8,1,8388608,7
59,fwd,mlp_column,ALLGATHER,67108864,0.001250,9.2722,8,2,1,5,TP,8,1,8388608,7
60,fwd,mlp_row,REDUCESCATTER,67108864,0.001250,9.3306,8,2,1,5,TP,8,1,8388608,7
61,fwd,attention_column,ALLGATHER,67108864,0.001250,9.3890,8,2,1,5,TP,8,1,8388608,7
